"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gfap",1546.74561577729,0.825700366127107,0.161095525379548,5.12553259428977,2.96697830156556e-07,5.80703586467525e-05
"Gm24148",50.8771818334191,1.35090778097574,0.263985064110435,5.11736444456797,3.0983458851534e-07,5.99751239197551e-05
"Capg",21.3332462591984,1.03843551792659,0.203482369109878,5.1033193807855,3.33747042192436e-07,6.39016755241279e-05
"Tmem237",113.793963357425,-0.470703750284121,0.0924617099467971,-5.09079650976567,3.56562521666064e-07,6.753600880804e-05
"Gaa",1400.04519335477,0.446057016000749,0.0876794592953598,5.08736047856029,3.63081310387756e-07,6.80391200263863e-05
"Cald1",161.405456125545,-0.459721556959597,0.0905060366277436,-5.07945739410132,3.78514398232865e-07,7.01845381565465e-05
"Axl",198.285972365455,0.337458416679251,0.0666138010212288,5.0658934260741,4.06489300155799e-07,7.38176187860247e-05
"Cbx7",304.431891358576,0.353042650807301,0.0696837943177417,5.06635228841744,4.05511144045915e-07,7.38176187860247e-05
"Itpk1",372.610986804706,0.267708509694975,0.0530293824627293,5.04830524630622,4.45746550540527e-07,8.01206682425651e-05
"Rpl13a",510.65853171288,-0.535153758621322,0.106277083627274,-5.03545769564179,4.76708405139686e-07,8.48203894599553e-05
"Tyrobp",64.9473974033771,1.09346613795253,0.218464541229388,5.00523394688745,5.5794226412053e-07,9.73084453711201e-05
"Map6d1",422.347785697616,-0.380133063240245,0.0759296491220168,-5.00638508982679,5.5461745795693e-07,9.73084453711201e-05
"Tnnt2",16.3885283881264,1.1120221435901,0.222625465961333,4.99503567028239,5.8824893674822e-07,0.000101004970897391
"Fbxl5",862.337254162283,-0.330922631498437,0.0662605388838906,-4.99426411364263,5.90605279729278e-07,0.000101004970897391
"Ctsd",1943.04709933981,0.409394079103235,0.0820219545390853,4.9912743655499,5.99822236464545e-07,0.000101494958538948
"Desi1",734.214283334294,-0.398632441203735,0.0798924073546894,-4.98961608997424,6.04994075877917e-07,0.000101494958538948
"Apoe",1541.92909281487,0.536588935544821,0.107661009722128,4.98406003185139,6.22637477523224e-07,0.000103469426099732
"Mybpc1",62.6438122316148,0.556436540442608,0.111798163486288,4.97715278221771,6.45263891203881e-07,0.000105415878501731
"Fa2h",227.53683985848,-0.672487833154528,0.135123558573123,-4.97683631378466,6.46319323201077e-07,0.000105415878501731
"Stat1",163.29563307657,0.450163361018719,0.0905670886277626,4.97049610227533,6.67818041467216e-07,0.000107923071563716
"Atg9b",36.0196896388659,0.729114752474169,0.146765365168461,4.9678938326987,6.76839992003138e-07,0.000108386695083048
"Osbpl1a",1153.28366510939,-0.241618904374263,0.0486846345154893,-4.96293967858361,6.94341517660987e-07,0.000110187620122507
"Wsb1",529.743751350479,-0.463370438110868,0.09376373225762,-4.94189413064038,7.7367226384921e-07,0.000120863350241037
"Dcaf17",103.061442517839,-0.378872062968575,0.0766718537646081,-4.94147518764523,7.75336847983944e-07,0.000120863350241037
"Ulk3",110.496827698295,-0.379180088688575,0.076813341203119,-4.93638322131961,7.9584654299202e-07,0.00012297225311232
"Nkain1",567.11760291036,-0.364026051331449,0.0740936692392827,-4.9130520200834,8.96694729836472e-07,0.000137350240574517
"Itm2a",277.578475605312,-0.691841509701765,0.141074133452566,-4.90409894975102,9.38571707528873e-07,0.000142525350242423
"Npnt",84.1857849374125,-0.505174536845911,0.103171469982964,-4.89645574429952,9.75806114708369e-07,0.000146913031714427
"Ahsg",1.86910338099755,-4.54018269319095,0.929293630801007,-4.88562768828785,1.0309986212685e-06,0.00015382634645061
"Smyd1",24.7625081319503,-0.714308995786886,0.146252866038448,-4.88406836143028,1.03919019174695e-06,0.00015382634645061
"Pdcd6",327.284508839331,-0.501374406806045,0.103144777988309,-4.86088017817902,1.16864976753212e-06,0.000171548047125653
"Snord92",25.4829084091972,2.08952795262271,0.430256723705573,4.85646786557272,1.19498163431934e-06,0.00017396364866558
"Dok5",70.5986970928625,-0.48006955721422,0.0990077489536364,-4.8488079194592,1.24205616103828e-06,0.000179334584235159
"Ifi27",131.457538884811,0.784295527439805,0.162000212682479,4.84132406033953,1.28976840319366e-06,0.00018235658134275
"Gamt",32.9691703452767,-0.850449248041178,0.175688458135271,-4.84066658144598,1.29404329649979e-06,0.00018235658134275
"Snord104",22.4513147724421,1.13143868078846,0.2337035763059,4.84134089290742,1.28965913725603e-06,0.00018235658134275
"Ssh1",186.738483408909,0.362469192538949,0.0749957601474526,4.83319579435266,1.34358525661139e-06,0.000187835351549282
"Sqor",30.4341525639342,0.61889441944778,0.12811421222345,4.83080220926886,1.35984040431833e-06,0.000188610934819428
"Mfsd14b",235.746874405985,-0.404443742552458,0.0838326386282882,-4.82441861749994,1.4041223407778e-06,0.000193184013843034
"Trh",44.6185120034033,1.00479578841482,0.208404355387554,4.82137614900741,1.42571227928439e-06,0.000193184013843034
"Zfc3h1",329.219927059597,-0.283315945639872,0.0587521632538662,-4.82222151405171,1.41968159103269e-06,0.000193184013843034
"Lpar1",271.897339853007,-0.379423303776356,0.0787259223554053,-4.81954726504776,1.43884363180092e-06,0.000193475042550941
"Kcnk2",207.544328167898,-0.284482072611332,0.0591053786712855,-4.8131334069185,1.48582030287685e-06,0.000198278216933149
"Mog",692.890154659827,-0.799527371032627,0.166185719042913,-4.8110473970761,1.50141403862237e-06,0.000198852693912279
"Tesk1",238.512893632246,0.456165124619274,0.094987334178882,4.80237842826723,1.56792014396866e-06,0.000206111293552297
"Pnkd",841.787911586154,0.179893194056967,0.0374942192464196,4.79789145293764,1.6034462852588e-06,0.000206165739524334
"Mllt6",921.646404980154,0.274909032906223,0.0572815933942057,4.79925603700179,1.59256095985862e-06,0.000206165739524334
"Gc",3.38165804504249,-2.91473998436536,0.607306198144502,-4.79945700088481,1.59096387872629e-06,0.000206165739524334
"BC039966",8.42512968964626,1.49090230111673,0.31088373883218,4.79569084802322,1.62115139456488e-06,0.000206394974548566
"Trappc2",105.642800604393,-0.917725274232345,0.191458937954036,-4.79332688272126,1.64038015536754e-06,0.000206394974548566
"Prkn",44.0889654645751,0.522806728135299,0.109059749250658,4.79376425975183,1.636806031325e-06,0.000206394974548566
"R3hdm1",1194.32860163788,-0.365033339731214,0.0763285250551527,-4.78239739949714,1.73216804802842e-06,0.00021639815720582
"Grina",1563.74763040559,0.189506465297479,0.0396593572718503,4.77835442461868,1.76735649911811e-06,0.000219239329098348
"Fbxl2",158.696224210345,-0.278950334492383,0.0585245355943876,-4.76638270871018,1.87562835309559e-06,0.000228219230633566
"Baalc",1261.77224313712,-0.188310898119213,0.0395107943881974,-4.76606206063689,1.87861416076452e-06,0.000228219230633566
"Snord99",156.430946066335,1.32005159762492,0.276847448380791,4.76815518924071,1.8592054740123e-06,0.000228219230633566
"Aspg",24.1285518237644,0.813055746567822,0.170970014785734,4.75554586333032,1.97910921571329e-06,0.000238780882430065
"Stat3",245.588003227952,0.34884477899269,0.0734132123356527,4.75179831932345,2.01615421465952e-06,0.000241595622389302
"Chchd3",204.880232926518,-0.332373754443311,0.0700457628441953,-4.74509436327532,2.08409156994446e-06,0.000248049141922781
"Tmed2",58.679612843294,-0.50561371584978,0.10679457713019,-4.7344512187487,2.19648589414357e-06,0.000259671805539188
"Zc3hav1",56.5774808367889,0.964104634670119,0.203778365452698,4.73114323264071,2.23258917523524e-06,0.000262180388811792
"Lsm11",225.513765031211,-0.316831605153767,0.06704741911026,-4.72548547517891,2.29566243984298e-06,0.000267801946210822
"Rac1",1220.6672679243,-0.329387967658447,0.0697795441506047,-4.7204087052723,2.35371232278285e-06,0.000272767385301446
"Man2b1",174.346188337447,0.429846687479504,0.0911830088551885,4.71410949118998,2.42770103318747e-06,0.000279502965356845
"Mpzl1",117.448618159896,-0.619502399104105,0.131488110487209,-4.71147084560446,2.4593528491251e-06,0.000280370141453854
"Ppil2",321.917091628744,-0.229131242448313,0.0486392224151183,-4.71083276152649,2.4670662461168e-06,0.000280370141453854
"Tshb",9.1663015628976,1.77462468468196,0.376821904604182,4.70945203290675,2.48383658078977e-06,0.000280466547247511
"Atp5l",71.3801521746747,-0.88961562850329,0.189022258361815,-4.70640672803961,2.52121258405293e-06,0.000282873628459186
"Maob",164.852421350256,0.377062774181724,0.0801732736188821,4.70309814183413,2.56243169793705e-06,0.000285649411217788
"Akr1b8",2.99584287196579,2.19240969289339,0.466390331692585,4.70080433472297,2.59138731004586e-06,0.000285649411217788
"Gm35410",3.16357452626054,-1.78803131000273,0.380387580638091,-4.7005512298886,2.59460152113801e-06,0.000285649411217788
"H2aw",13.0330803245928,-0.884465672641897,0.188588644388338,-4.68992009307104,2.73311760969402e-06,0.000295613298865368
"Mfsd14a",268.266276431783,-0.4815013852503,0.102629063189709,-4.69166696338493,2.70987991553485e-06,0.000295613298865368
"Sox8",203.993272121324,-0.28048675615875,0.059808524252448,-4.68974547799965,2.73545090633295e-06,0.000295613298865368
"Ces1c",1.33542454804307,-3.82703015952828,0.816278714354425,-4.68838656727069,2.75367481111959e-06,0.000295768181694339
"Ybx1",136.202597877557,-0.447728164363308,0.0955552055887876,-4.68554446201562,2.79216673535259e-06,0.000298084951777187
"Chuk",233.604451181447,-0.430130388918541,0.09182588527814,-4.68419539453041,2.81061796975476e-06,0.000298247202031506
"Rnf20",268.608840436619,-0.228830361062061,0.0488919570791436,-4.68032729169837,2.86417305578056e-06,0.000302110229805836
"Mfsd8",68.0980989700965,-0.3996296443392,0.085715770098434,-4.66226511037904,3.12747947264555e-06,0.000327919945896735
"Tuba1b",275.857467277238,-0.334210176675681,0.0717349455816844,-4.65895908842807,3.17812352059732e-06,0.00033125825926226
"Pmepa1",224.38375569603,-0.335056632842985,0.0719546270202147,-4.65649877872142,3.21632186805582e-06,0.000333267704151784
"Bmp7",58.9266273678396,0.40827207202254,0.0878475075223236,4.647508888272,3.35967621855283e-06,0.000346085944969638
"Nectin3",83.2929164905423,-0.447796617725106,0.0964292286841946,-4.64378512444228,3.42083344201146e-06,0.000348570052613462
"Omp",15.4145653283143,1.64780912543013,0.354853496429452,4.64363220881419,3.42336753347312e-06,0.000348570052613462
"Rapgef3",262.496380245393,0.365638752336785,0.0787848467273452,4.64097815157488,3.46763792305659e-06,0.000351048517325528
"Icam1",19.653534760071,0.823486130128843,0.177651521794042,4.63540149734007,3.56245337192547e-06,0.000356548955377654
"Rims1",938.682264530184,-0.302766622149967,0.0653064036201765,-4.6360939412751,3.55054653041557e-06,0.000356548955377654
"Nectin4",54.8638545187446,0.562512505425021,0.121485740355989,4.63027597952397,3.65178680190535e-06,0.000363424997263067
"Chst3",22.8508221088179,-0.996063155592082,0.21521910319033,-4.62813542490792,3.68972715802109e-06,0.000365137887014278
"Rras2",70.6336639474153,-0.560152324986059,0.121257006656278,-4.61954604053436,3.84580538838643e-06,0.00037845732914205
"Cotl1",282.215359549449,0.452018829264362,0.0978768003282792,4.61824280879932,3.87003256299416e-06,0.000378725686650789
"Aig1",259.330564548086,-0.257867466898151,0.0559069686420382,-4.6124387202824,3.97971893177565e-06,0.0003873080054322
"Cilk1",135.587004191889,-0.35650723507843,0.0773700339234796,-4.60782058633996,4.06911531343258e-06,0.000391086654746599
"Tmem176a",72.1205471135269,0.587301463379114,0.127466981214522,4.60747919016541,4.07579979651997e-06,0.000391086654746599
"A930017K11Rik",20.3913420496603,0.698189212204652,0.151549563303506,4.60700246827107,4.08515154546547e-06,0.000391086654746599
"Atp2c1",728.73879628136,-0.249001537769846,0.0540693793002505,-4.60522278954094,4.12024511668219e-06,0.000392314149893821
"Syngr3",620.587404429359,-0.290332198970164,0.0631135479515527,-4.60015651778964,4.22173610001606e-06,0.000399816566676252
"Tnfaip2",18.0384090756083,0.727091580382864,0.158251323993646,4.59453710739289,4.33710947262909e-06,0.000406373315746603
"Tap1",18.208521341706,0.917699207356009,0.1996980726634,4.59543347172324,4.3185056580777e-06,0.000406373315746603
"Mical2",1165.55620007861,-0.354596647321994,0.0772994360612996,-4.58731221584584,4.48988970046489e-06,0.000418079509662139
"Dynll1",631.780221866062,-0.690246269875202,0.150498447285066,-4.58640127075715,4.50951500629045e-06,0.000418079509662139
"Akap12",215.572459194635,0.469918286752282,0.102579373254164,4.58102123111973,4.62710861239375e-06,0.000426735697420503
"Ttc14",728.016311004586,-0.398222050845312,0.0870197403373758,-4.57622660446244,4.7343771815457e-06,0.000434354448192331
"Ly9",4.76779792427076,1.64404719913903,0.359774947257709,4.56965447891898,4.88528961294758e-06,0.00044587759861177
"Armcx3",62.4824768242554,-0.530450490013452,0.116553599639573,-4.55112919424027,5.33587696535012e-06,0.000480417491612003
"Coch",116.707973877798,-0.364020504906455,0.0799740604833609,-4.55173218298941,5.320603727957e-06,0.000480417491612003
"H2-K1",144.085108270184,0.691201601501836,0.151958801283501,4.54861183204716,5.40009442742984e-06,0.000480417491612003
"Lhx3",3.9866338210918,1.88245668683157,0.413852309261154,4.54861950678081,5.39989752653297e-06,0.000480417491612003
"Lyz2",110.107810732181,0.931715808737591,0.204789147466911,4.54963468651645,5.37391284853436e-06,0.000480417491612003
"Gabarapl2",148.670778184413,-0.359721300391581,0.079212483435889,-4.54121982784094,5.59296761422041e-06,0.000495076002635641
"Prom1",72.2108354085562,-0.688424752413223,0.151689984403799,-4.53836655807568,5.66916524442278e-06,0.000496827590947798
"Eef1a2",4542.0414671335,0.369692809287274,0.0814449736099814,4.53917280466731,5.64753399530526e-06,0.000496827590947798
"H2-D1",120.496237264218,0.663037280993611,0.146161326843683,4.53633868350633,5.72392340412384e-06,0.000499143122592285
"Tpt1",318.68004150377,-0.428976986230854,0.0946156651988961,-4.53388966117906,5.79072872371645e-06,0.000501981998156976
"Alb",24.0860751459477,-3.32778483536845,0.734114116277938,-4.53306204250749,5.81347304138649e-06,0.000501981998156976
"Dnajb1",282.244573827781,0.239384032192807,0.0529622213639235,4.51990165872969,6.18683634817681e-06,0.000531615230600656
"Dhcr7",161.792205006896,-0.300425750812258,0.0664980731265941,-4.517811369366,6.2482107691282e-06,0.000531701607237649
"Lsp1",34.4937565794773,0.593125691913218,0.131260928417851,4.51867664706046,6.22273441933835e-06,0.000531701607237649
"Mark3",287.463430189148,-0.299759270282699,0.0664674922688375,-4.50986279232981,6.48695684325248e-06,0.000544193276755147
"Dlk1",212.087277114371,0.340923032345912,0.0756033234740159,4.50936568235765,6.50217463288682e-06,0.000544193276755147
"Nvl",259.834924672781,-0.256810161444314,0.056957149099494,-4.50883103358479,6.5185796988553e-06,0.000544193276755147
"Slc25a34",49.2974582282138,0.550782957787282,0.122112677047412,4.51044863731414,6.46906639166462e-06,0.000544193276755147
"Pink1",2031.86764885643,0.436666262071673,0.096895581130285,4.50656528376185,6.58854208414992e-06,0.000547439475529721
"Uty",183.979328319889,-0.663806210367682,0.147453301686179,-4.50180635344769,6.73783576533761e-06,0.000557215854490244
"Arvcf",105.472006703514,0.57011224439445,0.126681663440815,4.50035331799066,6.78406053724169e-06,0.00055841694562389
"Fosb",43.2155739730885,0.901209038120737,0.200371231938933,4.49769674718274,6.86935826897907e-06,0.000562808120502634
"Rasl10b",1182.95446285551,0.558633345552531,0.124275115283282,4.49513439821915,6.95260196172265e-06,0.000566991127572891
"Atf5",124.724758557363,0.7269367026254,0.161952854248001,4.48856987424396,7.17029061073201e-06,0.000581045996211327
"4933431E20Rik",489.284489148693,-0.227485346812569,0.0506980569167478,-4.4870624368529,7.22119174521123e-06,0.000581045996211327
"Rpl32",165.018908877645,-0.440566026024442,0.0981875986028174,-4.48698239180483,7.22390423901678e-06,0.000581045996211327
"Bmp6",49.1322793221224,0.430848285412751,0.0960517710679189,4.48558397854107,7.27144990155394e-06,0.000582211772799421
"Parp6",806.491180290688,-0.269242184384344,0.0601054580012826,-4.47949642740596,7.48193423807061e-06,0.000596354170152098
"Pcolce2",80.8163848965911,0.619473676163138,0.138499128659323,4.47276226326957,7.72156084572497e-06,0.000612681505844348
"Rab36",155.798454958088,-0.242047716541142,0.0541838201753095,-4.46715856796376,7.92653773483025e-06,0.000626125391027062
"Il1rap",209.311541641572,-0.397630256490251,0.0891377860657792,-4.46084959073159,8.16353721832438e-06,0.0006419674468785
"Espn",13.011600148107,0.958213933243212,0.214871958793738,4.45946478369023,8.21645717164891e-06,0.000643257302571536
"Lgals3bp",116.509950451411,0.969697490505485,0.217692087436002,4.45444527601657,8.41103783450973e-06,0.000655577130331367
"Tia1",394.275446722389,-0.389182963022321,0.0874129626137761,-4.4522339866443,8.4981487221805e-06,0.000659448853485504
"Dennd11",610.909436988118,-0.245282191146907,0.0552591836955468,-4.43875885858723,9.04791187323978e-06,0.000699030559855784
